,nom_reg,res_princ_de_40_a_moins_de_60_m2_en_2015_princ,res_princ_chauffage_individuel_electrique_met_en_2015_princ,pop_men_emmenages_moins_2_ans_en_2015_princ,appartements_en_2015_princ,res_princ_type_maison_en_2015_princ,menages_deux_voitures_ou_plus_en_2015_princ,anc_tot_emmengt_res_princ_occ_par_proprietaires_annees_en_2015_princ,res_princ_de_120_m2_ou_plus_en_2015_princ,unite_urbaine,nom_epci,menages_emmenages_moins_2_ans_en_2015_princ,menages_au_moins_une_voiture_en_2015_princ,res_princ_occupees_locataires_en_2015_princ,res_princ_hlm_louee_vide_en_2015_princ,res_princ_de_100_a_moins_de_120_m2_en_2015_princ,anc_tot_emmengt_res_princ_occ_gratuit_annees_en_2015_princ,pieces_res_princ_men_emmenages_moins_2_ans_en_2015_princ,res_princ_sdb_baignoire_douche_met_en_2015_princ,res_princ_type_appart_1946_a_1970_en_2015_princ,res_princ_type_appartement_en_2015_princ,res_secondaires_et_logts_occasionnels_en_2015_princ,res_princ_chauffage_central_individuel_met_en_2015_princ,res_princ_3_pieces_en_2015_princ,pieces_res_princ_men_emmenages_depuis_10_ans_ou_plus_en_2015_princ,res_princ_1946_a_1970_en_2015_princ,menages_au_moins_un_parking_en_2015_princ,pieces_res_princ_men_emmenages_entre_2_4_ans_en_2015_princ,pers_res_princ_occupees_proprietaires_en_2015_princ,res_princ_occupees_proprietaires_en_2015_princ,pieces_res_princ_type_appartement_en_2015_princ,pieces_res_princ_men_emmenages_entre_5_9_ans_en_2015_princ,pop_men_emmenages_depuis_10_ans_ou_plus_en_2015_princ,menages_emmenages_entre_5_9_ans_en_2015_princ,res_princ_de_80_a_moins_de_100_m2_en_2015_princ,pieces_res_princ_type_maison_en_2015_princ,libelle_de_l_iris,pop_menages_en_2015_princ,res_princ_chauffage_central_collectif_met_en_2015_princ,res_princ_4_pieces_en_2015_princ,geo_shape,region,nom_dep,iris,pers_res_princ_occupees_locataires_en_2015_princ,res_princ_de_30_a_moins_de_40_m2_en_2015_princ,logements_vacants_en_2015_princ,libelle_commune_ou_arm,anc_tot_emmengt_res_princ_occ_par_locataires_annees_en_2015_princ,res_princ_1_piece_en_2015_princ,departement,pop_men_emmenages_entre_2_4_ans_en_2015_princ,res_princ_type_maison_avt_2013_en_2015_princ,res_princ_type_maison_1971_a_1990_en_2015_princ,res_princ_1971_a_1990_en_2015_princ,res_princ_2006_a_2012_en_2015_princ,res_princ_type_appart_2006_a_2012_en_2015_princ,res_princ_de_60_a_moins_de_80_m2_en_2015_princ,commune_ou_arm,res_princ_1991_a_2005_en_2015_princ,res_princ_5_pieces_ou_plus_en_2015_princ,menages_emmenages_depuis_10_ans_ou_plus_en_2015_princ,res_princ_loge_gratuit_en_2015_princ,menages_en_2015_princ,menages_emmenages_entre_2_4_ans_en_2015_princ,res_princ_avt_2013_en_2015_princ,pieces_res_princ_en_2015_princ,geo_point_2d,anc_tot_emmengt_res_princ_hlm_louees_vides_annees_en_2015_princ,menages_une_voiture_en_2015_princ,res_princ_type_appart_avt_2013_en_2015_princ,res_princ_type_maison_avt_1919_en_2015_princ,residences_principales_en_2015_princ,pers_res_princ_occupees_gratuit_en_2015_princ,res_princ_type_maison_1919_a_1945_en_2015_princ,res_princ_type_appart_1991_a_2005_en_2015_princ,grand_quartier,res_princ_type_appart_avt_1919_en_2015_princ,personnes_res_princ_en_2015_princ,res_princ_2_pieces_en_2015_princ,logements_en_2015_princ,res_princ_type_appart_1919_a_1945_en_2015_princ,res_princ_type_appart_1971_a_1990_en_2015_princ,res_princ_1919_a_1945_en_2015_princ,res_princ_type_maison_2006_a_2012_en_2015_princ,res_princ_de_moins_de_30_m2_en_2015_princ,pers_res_princ_hlm_louees_vides_en_2015_princ,maisons_en_2015_princ,res_princ_type_maison_1946_a_1970_en_2015_princ,pop_men_emmenages_entre_5_9_ans_en_2015_princ,res_princ_avt_1919_en_2015_princ,anc_tot_emmengt_res_princ_annees_en_2015_princ,res_princ_type_maison_1991_a_2005_en_2015_princ,res_princ_avec_eau_chaude_dom_en_2015_princ,res_princ_avec_electricite_dom_en_2015_princ,res_princ_avec_piece_climatisee_dom_en_2015_princ,res_princ_avec_bain_douche_wc_dom_en_2015_princ,habitations_de_fortune_dom_en_2015_princ,res_princ_avec_chauffe_eau_solaire_dom_en_2015_princ,cases_traditionnelles_dom_en_2015_princ,maisons_ou_immeubles_en_dur_dom_en_2015_princ,res_princ_avec_tout_a_l_egout_dom_en_2015_princ,maisons_ou_immeubles_en_bois_dom_en_2015_princ
23,ILE-DE-FRANCE,269.101415647,653.485810161,368.390742693,1401.23027759,15.0891582174,46.3024547817,7810.67359742,14.4312756282,00851,Métropole du Grand Paris,230.77868122,441.866291206,772.981511614,135.759051147,19.9715590594,243.580568385,456.507227117,1135.27840383,262.415594074,1211.29858835,69.914607554,144.932659854,396.653061124,1495.78134062,262.415594074,504.654339488,578.38758735,708.749972537,422.449047252,2867.8742203,403.371067174,1004.41798368,177.37570544,108.172236075,63.3744645129,Pere Lachaise 3,2145.44645121,424.893687246,147.021455409,"{'type': 'Polygon', 'coordinates': [[[2.4034515951, 48.8624005076], [2.4017409202, 48.8615708686], [2.4014420031, 48.8618436734], [2.4013166178, 48.8619608601], [2.4005956319, 48.8618358399], [2.4004692884, 48.8617992333], [2.4002030654, 48.8617178578], [2.4002016299, 48.861724146], [2.4000201282, 48.8625713161], [2.3997720179, 48.8631654362], [2.3997051423, 48.8632910086], [2.3996412308, 48.863395911], [2.3995400302, 48.8635428952], [2.3991358444, 48.8640768739], [2.3998463368, 48.8641685743], [2.4017260173, 48.8634621101], [2.4022230555, 48.8632676381], [2.4027128914, 48.8629876906], [2.4032446423, 48.8626180158], [2.4034515951, 48.8624005076]]]}",11,PARIS,751207903,1394.51814742,236.592922809,121.900766623,Paris 20e Arrondissement,6706.96859483,283.754903809,75,461.81628813,15.0891582174,0.0,523.845298027,14.4312756282,14.4312756282,320.179583697,75120,42.0616063702,20.0395598553,550.043541349,33.7557251465,1229.18628401,270.988356004,1222.41686185,2934.04722226,"[48.8628187238, 2.40119118174]",2295.14463382,395.563836424,1204.52916619,12.0713265739,1229.18628401,42.1783312545,0.0,39.0437747267,7512079,139.47313445,2145.44645121,381.717303816,1421.00165819,228.118626728,521.04676058,228.118626728,0.0,260.737291097,340.509303945,16.9728431521,0.0,310.821436705,151.544461024,14761.2227606,3.01783164347,,,,,,,,,,
180,ILE-DE-FRANCE,428.333283308,591.926763474,408.067960984,1504.48727349,12.885676531,24.4312626312,8033.92994597,13.7733226286,00851,Métropole du Grand Paris,233.020735656,315.332097018,774.827618935,0.0,40.3423055184,497.766956767,486.380272219,1207.11278658,95.5308588584,1261.10119329,420.875414734,381.776715193,302.709202392,1309.68289141,95.5308588584,188.540422792,648.414970963,782.905412538,436.581899078,2888.42680288,510.183524708,868.411528564,212.667873634,103.32775865,50.023685576,Grandes Carrieres 3,2116.68853793,305.328959014,107.499675998,"{'type': 'Polygon', 'coordinates': [[[2.3326017373, 48.8866322733], [2.3338157171000002, 48.8861848729], [2.3345734139, 48.8859057977], [2.3347707149, 48.8858331491], [2.3343113252, 48.8853926225], [2.3340337493, 48.8851311727], [2.3339906552, 48.8850886645], [2.3328433653, 48.8839518189], [2.3327449744, 48.8837552165], [2.3327427416, 48.883748549], [2.3325903979, 48.8837930261], [2.3324357521, 48.8838362312], [2.3323032056, 48.8838681378], [2.3320965192, 48.883917977], [2.3309146557, 48.8842036606], [2.3296377902, 48.8845589485], [2.3297468618, 48.8846665795], [2.3301722803000002, 48.8849882225], [2.330797897, 48.8854368892], [2.3310007605, 48.8855684256], [2.3316189023, 48.8859630862], [2.3324358909000003, 48.8864847582], [2.3325357267, 48.8865689523], [2.3326017373, 48.8866322733]]]}",11,PARIS,751186903,1209.05524623,284.188775793,119.513711998,Paris 18e Arrondissement,7763.45329308,308.511268866,75,475.087752775,12.885676531,0.0,8.24936823137,6.82140051041,6.82140051041,148.535466778,75118,10.2799293985,54.2161917459,541.734820714,73.7029455603,1285.11246357,297.68903357,1281.88341163,2954.6616593,"[48.8851602915, 2.33231695955]",0.0,290.900834387,1257.87214135,9.29332796,1285.11246357,124.727879165,3.59234857102,10.2799293985,7511869,748.718745841,2116.68853793,512.176124572,1825.50159031,390.063102861,6.45810387879,393.655451432,0.0,266.611550898,0.0,16.1799851977,0.0,365.121295607,767.346403203,16295.1501958,0.0,,,,,,,,,,
249,ILE-DE-FRANCE,229.956048658,472.788466617,139.038555106,1235.72564263,6.51282857959,14.7595017014,7303.13048573,44.950549338100004,00851,Métropole du Grand Paris,101.38989555,232.279040838,516.730695055,8.52595952946,45.4652674101,673.77068885,203.966442285,845.221772559,27.3729888423,883.860058625,181.070528269,267.896013691,224.289862939,1276.92745628,27.3729888423,140.443741024,351.142105693,611.538551429,337.736500827,2184.8918444,378.110373809,822.496903191,192.896031464,68.7931831256,13.0256571592,Place Vendome 2,1522.58192228,156.19941558,89.2555480384,"{'type': 'Polygon', 'coordinates': [[[2.3336510304, 48.8675101342], [2.3334816764, 48.8672151056], [2.3331020583, 48.8666266183], [2.3319434345, 48.8649185948], [2.331594888, 48.8650983167], [2.3308195731, 48.8654977906], [2.3301515147, 48.8658241134], [2.3285410151, 48.8666101104], [2.3274599117, 48.8670393234], [2.3269764105, 48.8672164746], [2.3262102521, 48.8674298053], [2.3258763476, 48.8675286517], [2.324584010899999, 48.867949454], [2.3253186617, 48.8690121254], [2.3251605587, 48.869430328199996], [2.3258407245, 48.869543881], [2.3264406286, 48.8696443874], [2.3280008285, 48.8699139665], [2.3282618746, 48.8697571475], [2.3322987185, 48.8678290596], [2.3336510304, 48.8675101342]]]}",11,PARIS,751010402,783.310215196,132.786615911,173.706641882,Paris 1er Arrondissement,4269.7960687,257.911364492,75,248.401194852,6.51282857959,0.0,35.618493811,0.0,0.0,147.778343756,75101,9.38870989893,78.414861167,422.687946679,45.2586865153,899.725882398,182.752008705,899.725882398,2210.14637807,"[48.8676788231, 2.3292167792000003]",125.047406432,217.519539137,883.860058625,3.60123255483,899.725882398,127.733155652,0.0,6.47711387416,7510104,756.404020521,1522.58192228,249.854245761,1254.50305255,57.9874415765,35.618493811,57.9874415765,0.0,229.995874199,11.3679460393,6.51282857959,0.0,312.645269128,769.358248269,12246.6972433,2.9115960247599992,,,,,,,,,,
250,ILE-DE-FRANCE,68.6337520616,115.487794538,215.389777734,969.768483607,3.00557087862,97.2534163068,8090.25266712,201.893622999,00851,Métropole du Grand Paris,115.423413196,449.311187516,313.603635503,0.0,92.7089809823,708.412954992,314.878704744,712.420179374,133.924429878,751.624726447,152.856540741,159.763452919,123.441470461,1516.06909396,136.930000756,179.882465114,412.6902115,901.708005352,402.444054521,2767.18743488,569.114461938,811.24792823,147.803282542,151.438865313,6.01114175725,Ecole Militaire 3,1713.96334877,507.103644746,179.82302064,"{'type': 'Polygon', 'coordinates': [[[2.3078128472, 48.8495329021], [2.3079160132, 48.8494606507], [2.3089496676, 48.8487921044], [2.3104948994, 48.8479763048], [2.3103251328, 48.8479330562], [2.3095550608, 48.8477379498], [2.308806474, 48.8475672453], [2.3082182006, 48.8474334376], [2.3073541492, 48.8471334473], [2.3063793505, 48.8477834354], [2.3063050996, 48.8478333692], [2.3062006318, 48.847901115], [2.306059074, 48.8479911296], [2.3060358531, 48.8480054747], [2.3061568321, 48.8481203054], [2.3075203797, 48.8494934366], [2.3078128472, 48.8495329021]]]}",11,PARIS,751072703,665.421792165,36.2234534718,65.2872164192,Paris 7e Arrondissement,2822.48216607,145.210292131,75,317.699754551,3.00557087862,0.0,35.120857498,2.9076080544,2.9076080544,92.2938823386,75107,2.9076080544,252.578924971,383.170920598,66.3072021781,782.354892203,135.957275867,779.321663906,2812.75247215,"[48.8482463595, 2.3079995506]",0.0,352.05777121,748.59149815,0.0,782.354892203,146.833551248,3.00557087862,2.9076080544,7510727,503.106888012,1713.96334877,81.301184,1000.49864936,73.5317147087,32.2132494436,82.8028479694,0.0,139.162335036,0.0,3.00557087862,0.0,369.62588825,518.652741574,11621.1477882,0.0,,,,,,,,,,
253,ILE-DE-FRANCE,123.965478541,344.570991039,362.330127031,1373.77578317,0.0,109.730714251,5496.43555109,209.767443839,00851,Métropole du Grand Paris,163.104848609,553.690767071,703.682440193,46.179093264,134.49417374,892.788938963,491.262772023,995.752052059,107.12878552,1081.82822986,187.011134712,246.786210887,202.869611181,1385.77468389,114.633251777,274.852114073,1024.54932281,747.761841217,310.175338619,3659.87487368,778.512375084,856.276243985,213.285853714,101.769294811,0.0,Chaillot 5,2492.05112498,503.190841809,181.338720849,"{'type': 'Polygon', 'coordinates': [[[2.2898138839, 48.8691098041], [2.2891519849, 48.8684628414], [2.288376767, 48.8677297629], [2.2878059839000002, 48.8672011482], [2.2876834782, 48.8670880006], [2.286468251, 48.8662362728], [2.286388001599999, 48.8662232035], [2.2862226744, 48.8662509968], [2.2859231899, 48.8674138678], [2.2854336662, 48.8693112689], [2.2854015671, 48.8694648657], [2.285466777, 48.8694814432], [2.285510164, 48.8694987898], [2.2855641973, 48.8695350862], [2.2856127163, 48.8695758465], [2.2858605296, 48.8695980103], [2.2860216178, 48.8695818837], [2.287473078, 48.869414261], [2.2876765339, 48.8693902903], [2.2898138839, 48.8691098041]]]}",11,PARIS,751166405,1583.11804335,150.0291122,108.688651509,Paris 16e Arrondissement,5004.24055258,175.299866796,75,731.970586087,0.0,0.0,50.8936185557,114.060908002,114.060908002,168.659532264,75116,37.8327941373,269.424485122,382.164207528,84.44249805,1098.30027686,339.745367012,1098.30027686,3680.0991538,"[48.868250362, 2.28719420656]",540.84259647,443.96005282,1081.82822986,0.0,1098.30027686,161.17124042,0.0,37.8327941373,7511664,500.884714687,2492.05112498,269.367592913,1394.00006308,271.02740896,50.8936185557,276.814138544,0.0,209.615241469,148.208939747,3.75223291264,0.0,541.474167883,504.065565847,11393.4650426,0.0,,,,,,,,,,
341,ILE-DE-FRANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00851,Métropole du Grand Paris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seine et Berges 3,0.0,0.0,0.0,"{'type': 'Polygon', 'coordinates': [[[2.289695683, 48.8581828804], [2.290474666599999, 48.858830541], [2.2907490722, 48.8590983769], [2.2918384215, 48.8599682088], [2.2921958829, 48.8602536202], [2.2936899419, 48.8612463404], [2.2948645621, 48.8618756194], [2.2954596949, 48.8621165535], [2.2968705142, 48.8626194944], [2.2975518245, 48.8628393397], [2.2985891328, 48.8631440084], [2.299222465599999, 48.8632835206], [2.3001439163, 48.8633860425], [2.3013720967, 48.8634867509], [2.3017372876, 48.8634960769], [2.3017440183, 48.8635024117], [2.3023325748, 48.8635256298], [2.3063627676, 48.8635670431], [2.3095901977, 48.8636000949], [2.3103902408, 48.863608305], [2.3104253751, 48.862910612], [2.310427369, 48.8628629579], [2.3104260357, 48.8627577263], [2.3104254523, 48.8625958399], [2.3101571457, 48.8625790046], [2.3096204018, 48.8625552244], [2.3092116005, 48.8625456706], [2.3062162792, 48.8624887722], [2.3054231289000002, 48.8624760774], [2.3024410602, 48.8624479406], [2.3019461761, 48.8624540485], [2.3015990007, 48.8624232437], [2.3009890051, 48.8623733658], [2.300576389499999, 48.862343524799996], [2.3001788699, 48.8623061262], [2.2997543209, 48.8622514804], [2.2993980305, 48.8621891386], [2.2989834113, 48.8621057689], [2.2986572777, 48.8620310106], [2.2980855741, 48.8618711715], [2.2980638514000002, 48.8618647486], [2.2979253739, 48.8618234655], [2.297244148, 48.8615982264], [2.2969757256, 48.8614896269], [2.2966397635, 48.8613356622], [2.2962378085, 48.8611228505], [2.2960295061, 48.8610038101], [2.2958442531, 48.8608938985], [2.295698429, 48.8607914134], [2.2954795783, 48.8606462287], [2.2952567252, 48.8604947245], [2.2952108721, 48.8604584803], [2.2948749951, 48.8601983872], [2.294861511899999, 48.8601875155], [2.2944513356, 48.8598784182], [2.2921180996, 48.8582538942], [2.2916359186, 48.8579299708], [2.2916224122, 48.8579208973], [2.2915751276, 48.8578900393], [2.2910738832, 48.857515187], [2.2910456939, 48.8575334568], [2.2908710202, 48.8576493381], [2.2907871269, 48.857704601], [2.2906716061, 48.8577803616], [2.2902795861, 48.8579426194], [2.289695683, 48.8581828804]]]}",11,PARIS,751072899,0.0,0.0,0.0,Paris 7e Arrondissement,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[48.8616677216, 2.29918179046]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7510728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
342,ILE-DE-FRANCE,395.700863338,555.57504961,424.639116985,1794.28739655,3.4343856897,65.0298099961,10918.2915607,32.0389582041,00851,Métropole du Grand Paris,288.801849785,435.990324605,860.220215096,142.377444334,94.3400835724,346.175643006,594.785664225,1506.41465927,226.027853148,1562.54842221,103.766218809,326.638886266,438.375223399,2021.65650174,226.027853148,354.756649205,719.098701536,1328.50604711,667.026303808,4031.22895783,730.438221787,1423.50432681,270.086026358,211.823757146,27.4750855176,Saint-Ambroise 9,2918.26998618,682.653300966,235.194900365,"{'type': 'Polygon', 'coordinates': [[[2.367251726, 48.8609905775], [2.3671570628, 48.8613776951], [2.3670981878, 48.8616238045], [2.3668888555, 48.862473478], [2.3673218271, 48.8626259583], [2.3692711487, 48.8634051871], [2.3701241282, 48.8637703164], [2.3707682009, 48.8633752951], [2.3711678138, 48.8631309752], [2.3712734713, 48.863073073], [2.3714339961, 48.8629866798], [2.3718678469, 48.8625024124], [2.3719430207, 48.862372401900004], [2.372154089, 48.8619373272], [2.3718649232, 48.8618404792], [2.3700865029, 48.8613580759], [2.3678376902, 48.8607778312], [2.3674339966, 48.860684864], [2.3673278395, 48.860671712], [2.367251726, 48.8609905775]]]}",11,PARIS,751114209,1497.2657754,254.491559526,127.972755527,Paris 11e Arrondissement,7776.60333975,335.986648136,75,554.945519412,3.4343856897,0.0,375.877803585,26.4239091982,26.4239091982,299.17601469,75111,152.476391294,103.800652,705.561889411,46.0113349308,1573.25785384,308.808088281,1572.1063528,4065.97908929,"[48.8622029436, 2.36934972993]",1873.66943661,370.960514609,1561.39692117,0.0,1573.25785384,92.4981636663,3.4343856897,152.476391294,7511142,518.070085005,2918.26998618,459.900429935,1804.99682817,266.201606302,372.197076228,273.23031057,0.0,285.686617358,403.074409178,3.4343856897,0.0,515.181022972,518.070085005,19041.0705434,0.0,,,,,,,,,,
343,ILE-DE-FRANCE,296.226151663,279.510619159,322.581859439,1343.1219131,5.41977498976,50.5133723946,8239.51467558,46.3185694311,00851,Métropole du Grand Paris,221.576784347,436.049002913,579.322425031,9.76491416808,48.4911223423,967.913064724,417.961234185,1064.0114037,227.280427297,1081.99860536,166.050985187,96.3434804938,254.203326408,1331.09303862,245.52070974,452.526295867,456.687484199,772.682308596,455.533657406,2594.15803315,452.074103831,755.286242624,204.833661665,97.1878580929,18.6877397526,Bel Air 14,1793.45810132,741.020727225,85.8753412159,"{'type': 'Polygon', 'coordinates': [[[2.4022566547, 48.8450137262], [2.402301135, 48.8451749331], [2.3991185029, 48.8479712735], [2.3991211286, 48.8480980956], [2.4034576256, 48.8477078923], [2.4034598942, 48.8476287605], [2.4034454164, 48.8474650059], [2.4034365165000002, 48.8474092016], [2.4031514830000003, 48.8457637596], [2.4025096651, 48.8450518637], [2.4022566547, 48.8450137262]]]}",11,PARIS,751124514,920.213393398,215.056263454,95.072322555,Paris 12e Arrondissement,4259.56951652,281.555304639,75,367.150795536,5.41977498976,0.0,437.516328012,5.23212651537,5.23212651537,132.269933397,75112,28.2609071982,79.2909041736,450.576646017,82.0187444408,1116.87482688,239.887734849,1116.87482688,2657.81586084,"[48.8468790356, 2.40175411705]",90.3254560547,385.535630519,1081.99860536,0.0,1116.87482688,100.562399331,0.0,25.6448439405,7511245,174.724550901,1793.45810132,415.949950442,1377.99813462,220.311007299,428.805649403,222.965605905,0.0,281.324928497,14.6473712521,5.41977498976,2.80371173207,348.439203725,177.379149507,13466.9972568,2.61606325769,,,,,,,,,,
397,ILE-DE-FRANCE,41.1852266199,68.4412611432,175.208736671,585.869227293,0.0,49.7893666966,2740.68100884,113.878027217,00851,Métropole du Grand Paris,81.7417973597,221.058065222,216.249290816,0.0,42.0400511455,572.011714242,265.689006617,379.906649987,60.5923633683,388.691282827,122.472163276,77.9800420981,81.584042242,732.800906376,60.5923633683,122.739497681,220.503870971,322.577860849,136.62909273,1414.23769563,218.820841911,405.284011058,72.5459750899,57.6802990822,0.0,Europe 10,953.874564347,265.84690983,73.1601019486,"{'type': 'Polygon', 'coordinates': [[[2.3066602683, 48.8773683061], [2.3081905756, 48.8774347172], [2.3097550071, 48.8774986074], [2.3102411979, 48.8775418799], [2.310441234, 48.8775718112], [2.3106977932, 48.8774518781], [2.3113316578, 48.8771542479], [2.3127444744, 48.8765148434], [2.314810074, 48.8755850764], [2.3157916816, 48.8752786202], [2.3147817079, 48.8752539571], [2.3135872599000002, 48.875208892], [2.311966285, 48.8751469747], [2.3094302939, 48.8750460351], [2.309198637499999, 48.8750366044], [2.3088201604, 48.8754058472], [2.3086432077, 48.87558919], [2.3079340331, 48.8763216514], [2.3076594991, 48.8765628855], [2.3068710191, 48.8772076456], [2.3066602683, 48.8773683061]]]}",11,PARIS,751083210,517.458216821,25.8557424904,83.7427477531,Paris 8e Arrondissement,1587.45964583,78.0652282683,75,223.224085381,0.0,0.0,6.72724900356,2.86362441196,2.86362441196,61.5347937968,75108,2.65194018088,117.200491966,173.788044932,59.3898295256,412.268213071,84.19239569,409.404588659,1437.81462588,"[48.8762107255, 2.31066692068]",0.0,171.268698525,385.827658416,0.0,412.268213071,113.838486677,0.0,2.65194018088,7510832,274.310496695,953.874564347,62.2583486464,618.4831241,38.6819847558,6.72724900356,50.1364824036,0.0,70.0940727194,0.0,9.03696656284,0.0,150.157731237,286.432929291,4900.15236891,0.0,,,,,,,,,,
398,ILE-DE-FRANCE,542.729540906,10.5726533943,430.089449984,1907.25671076,3.52421779809,75.1833130259,7097.77464535,7.04843559618,00851,Métropole du Grand Paris,170.992002516,789.424786772,1333.65647141,939.791412824,11.747392660300001,625.288693999,458.418070987,1667.60982744,240.821549536,1787.43323257,34.0674594852,10.5726533943,516.037942258,3342.13321186,241.996288802,957.412501814,576.796979621,1231.1267508,427.605092835,5081.01708281,754.182608791,2672.53183022,278.413206049,259.617377793,8.22317486221,Gare 3,4405.40712623,1795.65640744,358.295476139,"{'type': 'Polygon', 'coordinates': [[[2.3656862256, 48.823321524], [2.3663412811, 48.8229931268], [2.3664591749, 48.8229307951], [2.3664906967, 48.8229147733], [2.3668977326, 48.8227082735], [2.3671711237, 48.8225712166], [2.3673760013000003, 48.8224679729], [2.3674828989, 48.8224136763], [2.3665567382, 48.822187527], [2.3668791041, 48.8216064374], [2.367232178, 48.8209634521], [2.3672990447, 48.8208405911], [2.3670548403, 48.8207619521], [2.3665487946, 48.820599183], [2.3660590292, 48.820441894300004], [2.3654322629, 48.8202389076], [2.3647391306, 48.8200058855], [2.3646326217, 48.8201402265], [2.3634328815, 48.8216888716], [2.363324938, 48.8218285999], [2.3632295478, 48.8219441118], [2.3631534331, 48.822042638], [2.3634865375, 48.8222027021], [2.3647699452, 48.8228426884], [2.3654942156, 48.8232062845], [2.3656862256, 48.823321524]]]}",11,PARIS,751135003,3070.57591555,153.043509055,88.1054986687,Paris 13e Arrondissement,22057.2318635,263.141595591,75,554.476933566,3.52421779809,3.52421779809,1524.29163698,4.69895706412,4.69895706412,641.735043723,75113,37.591656513,167.140380247,1147.72026291,59.0643677724,1820.32593202,223.200460546,1819.15119276,5131.53087125,"[48.8216711016, 2.36537077418]",17437.8296649,714.241473746,1786.25849331,0.0,1820.32593202,103.704459882,0.0,37.591656513,7511350,1.17473926603,4405.40712623,515.710537787,1942.49889018,8.22317486221,1493.74841607,9.39791412824,0.0,204.404632289,2079.28850087,3.52421779809,0.0,748.308912461,1.17473926603,29780.2952028,0.0,,,,,,,,,,
